"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"64","Decision influencer","Wisconsin",4049,4049,30364,10.0024697456162,30.0074092368486,26.6664471084179,10.0024697456162,30.0074092368486,26.6664471084179,10.0024697456162,20.0049394912324,26.6669937821104
"65","Decision influencer","Wisconsin",8097,9312,10121,0,0,0,0,0,0,0,0,0
"66","Decision influencer","Wisconsin",NA,101,101,NA,15.8415841584158,60.3960396039604,NA,0,0,NA,0,20.0424900792079
"67","Farmer","Wisconsin",223,263,223,0,46.0076045627376,0,0,0,0,0,3.04182509505703,0
"68","Farmer","Wisconsin",128,132,132,0,2.27272727272727,0,0,0,0,0,0,0
"69","Farmer","Wisconsin",162,81,81,0,100,100,0,0,0,0,0,99.9650122469136
"70","Farmer","Wisconsin",65,67,65,0,53.7313432835821,46.1538461538462,0,0,0,0,44.7761194029851,37.3715353538462
"71","Farmer","Wisconsin",1012,1012,1012,100,100,100,0,0,0,100,100,100.014402075099
"72","Farmer","Wisconsin",405,405,405,0,0,0,0,0,0,0,0,0
"73","Farmer","Wisconsin",243,304,304,0,21.3815789473684,53.2894736842105,0,13.1578947368421,39.8026315789474,0,0,33.2942680592105
"74","Decision influencer","Wisconsin",24291,24291,32389,0,0,0,0,0,0,0,0,0
"75","Decision influencer","Wisconsin",810,10121,1215,1.97530864197531,3.00365576524059,49.9588477366255,0,0,1.64609053497942,1.97530864197531,1.9958502124296,49.9825061234568
"76","Farmer","Wisconsin",65,75,49,0,21.3333333333333,100,0,0,0,0,10.6666666666667,99.1489713265306
"77","Farmer","Wisconsin",607,729,567,3.29489291598023,44.4444444444444,100,0,0,14.2857142857143,0,0,14.2807160352734
"78","Farmer","Wisconsin",202,202,202,0,50,100,0,0,50,0,0,50.1062251980198
"79","Farmer","Wisconsin",106,96,81,0,0,0,0,0,0,0,0,0
"80","Decision influencer","Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Farmer","Wisconsin",28,30,30,7.14285714285714,13.3333333333333,100,0,0,100,0,0,101.2145749
"82","Farmer","Wisconsin",1619,1417,1417,0,35.7092448835568,100,0,0,0,0,0,42.8572653069866
"83","Farmer","Wisconsin",223,192,202,22.8699551569507,25.5208333333333,24.2574257425743,0,0,0,22.8699551569507,23.4375,24.0509880940594
"84","Farmer","Wisconsin",243,526,324,13.1687242798354,88.5931558935361,100,0,0,25,13.1687242798354,88.5931558935361,99.9650122530864
"85","Farmer","Wisconsin",95,91,91,0,0,0,0,0,0,0,0,0
"86","Farmer","Wisconsin",300,271,81,0,0,0,0,0,0,0,0,0
"87","Farmer","Wisconsin",142,162,162,0,100,100,0,0,0,0,0,0
"88","Farmer","Wisconsin",121,121,121,0,0,0,0,0,0,0,0,0
"89","Farmer","Wisconsin",273,296,283,0,0,100,0,0,100,0,0,100.141628869258
"90","Farmer","Wisconsin",202,243,202,0,0,0,0,0,0,0,0,0
"91","Farmer","Wisconsin",377,389,385,0,0,52.4675324675325,0,0,0,0,0,0
"92","Farmer","Wisconsin",648,567,607,0,0,NA,0,0,0,0,0,NA
"93","Farmer","Wisconsin",340,259,340,0,0,35.5882352941176,0,0,0,0,0,35.7227911470588
"94","Decision influencer","Wisconsin",NA,162,NA,NA,100,NA,NA,0,NA,NA,30.2469135802469,NA
"95","Farmer","Wisconsin",1012,1215,1417,0,0,0,0,0,0,0,0,0
